id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
11864-0xdf1943dfb5d1b7853a136848b32522d0ed9db5a9,11864,0xdf1943dfb5d1b7853a136848b32522d0ed9db5a9,10000000000000000,0.01,WETH,2022-05-19 10:38:01,0x5c0c2f139510b178c382a243087d9007617c07563fe5a307abaa7d484aed1d69
15915-0x7f248e4301f5a16b2a8289989584a509f7157845,15915,0x7f248e4301f5a16b2a8289989584a509f7157845,2000000000000000000,2.0,DAI,2022-05-16 03:02:11,0xa49244411ae379881b703d1756df9c0343f0efbd8108ca1dd18365fad310da9a
8650-0xf14729358c35e7a024639ea97aa991b2d577dad5,8650,0xf14729358c35e7a024639ea97aa991b2d577dad5,60000000000000000,0.06,WETH,2022-05-15 13:02:58,0xe8ffa0a8bf42a39df1b99cbf3fd82f6d8c8b416a409255d558980cf2c5c44a01
15672-0xcd01a3aced67e266be21117376c7025b384cd4d7,15672,0xcd01a3aced67e266be21117376c7025b384cd4d7,10000000000000000,0.01,WETH,2022-05-15 00:16:01,0xfb36786517257d4f7ca61631c45225d32d085b13e732dc16d6d943ed11774491
10620-0x99ba59c639442b3844ded96b6e2a17088b43dbb4,10620,0x99ba59c639442b3844ded96b6e2a17088b43dbb4,14000000000000,1.4e-05,DAI,2022-05-09 03:54:03,0xd1ecc5cbbef294fda3ef2213ea8d1a4912793c4eb6961e8e9af5efb7dd79ab7c
15044-0xeb54d707252ee9e26e6a4073680bf71154ce7ab5,15044,0xeb54d707252ee9e26e6a4073680bf71154ce7ab5,200000000000000000,0.2,WETH,2022-05-08 22:46:52,0xbe82cbf1dac6b41dbc0f4322bd2e90ac483bd283368b45740c2f8dd3190f5683
14585-0xc9c67f49d8261d41795f288cb92fff5ae3e6ecd9,14585,0xc9c67f49d8261d41795f288cb92fff5ae3e6ecd9,110000000000000000,0.11,UNI,2022-05-08 18:26:17,0x71be6a4a6befa9fe5629643937f952bb1b5141dc47fafa226f7862fe8a31aa7e
10390-0x34c131566ed45352ba74873ad890e734e17ec020,10390,0x34c131566ed45352ba74873ad890e734e17ec020,3000000,3.0,USDC,2022-05-08 16:46:22,0x9007a9a5e06b1238f69508042c41df5456e651b1577873322c5fb97c5fdc0890
10594-0x4131826eafdcb7dcd855fae9098ec693165f157d,10594,0x4131826eafdcb7dcd855fae9098ec693165f157d,5000000,5.0,USDC,2022-05-08 13:03:34,0xd23745e0d6721752a30e9116f77f36a221194b8a0c4297aedc86451a7d5ff664
13983-0xf507555538fd0537922e70817780908ad132d3eb,13983,0xf507555538fd0537922e70817780908ad132d3eb,10000000,10.0,USDC,2022-05-08 12:41:09,0xbcb8b4807b7151365b4cb77b13e18eefae1d375174272c5410d9a998b873caa0
